galaxies.source.pixelization.regularization.coefficient,     log_likelihood,          log_prior,      log_posterior,weight
                                      86.10670931957591,-3967.6259998657556,-4.4555873331314615, -3972.081587198887,   1.0
                                      86.10670931957591,-3967.6259998657556,-4.4555873331314615, -3972.081587198887,   1.0
                                       86.1067093295759,-3967.6260011717573, -4.455587333247596,-3972.0815885050047,   1.0
                                      85.10670931957591, -3837.781394832929, -4.443905872889634,-3842.2253007058184,   1.0
                                       85.1067093295759,-3837.7813961238203, -4.443905873007134,-3842.2253019968275,   1.0
                                      81.10670931957591,-3333.5136849207397, -4.395765686670858,-3337.9094506074107,   1.0
                                       81.1067093295759,-3333.5136861511824, -4.395765686794152,-3337.9094518379766,   1.0
                                      65.10670931957591,-1558.3945071535954, -4.176027605648665, -1562.570534759244,   1.0
                                       65.1067093295759,-1558.3945081419824,-4.1760276058022585,-1562.5705357477848,   1.0
                                    -0.2612518579846892,                nan,               -inf,                nan,   1.0
                                    -0.2612518479846892,                nan,               -inf,                nan,   1.0
                                      65.10670931957591,-1558.3945071535954, -4.176027605648665, -1562.570534759244,   1.0
                                       65.1067093295759,-1558.3945081419824,-4.1760276058022585,-1562.5705357477848,   1.0
                                      65.10670931957591,-1558.3945071535954, -4.176027605648665, -1562.570534759244,   1.0
